year,Month,State,Age,Count,Annotation_Code,Annotation_Desc
2017,1,CA,1 - 4 years,22,,
2017,1,CA,10 - 14 years,24,,
2017,1,CA,15 - 19 years,74,,
2017,1,CA,20 - 24 years,189,,
2017,1,CA,25 - 29 years,211,,
2017,1,CA,30 - 34 years,228,,
2017,1,CA,35 - 39 years,255,,
2017,1,CA,40 - 44 years,374,,
2017,1,CA,45 - 49 years,524,,
2017,1,CA,5 - 9 years,18,,
2017,1,CA,50 - 54 years,885,,
2017,1,CA,55 - 59 years,1387,,
2017,1,CA,60 - 64 years,1850,,
2017,1,CA,65 - 69 years,2147,,
2017,1,CA,70 - 74 years,2418,,
2017,1,CA,75 - 79 years,2729,,
2017,1,CA,80 - 84 years,3333,,
2017,1,CA,85 - 89 years,4001,,
2017,1,CA,90 years and over,5734,,
2017,1,CA,Less than 1 year,179,,
2017,1,CA,Unknown,,1,Cell suppressed for small numbers
2017,2,CA,1 - 4 years,28,,
2017,2,CA,10 - 14 years,33,,
2017,2,CA,15 - 19 years,75,,
2017,2,CA,20 - 24 years,150,,
2017,2,CA,25 - 29 years,189,,
2017,2,CA,30 - 34 years,188,,
2017,2,CA,35 - 39 years,255,,
2017,2,CA,40 - 44 years,299,,
2017,2,CA,45 - 49 years,488,,
2017,2,CA,5 - 9 years,22,,
2017,2,CA,50 - 54 years,737,,
2017,2,CA,55 - 59 years,1237,,
2017,2,CA,60 - 64 years,1538,,
2017,2,CA,65 - 69 years,1853,,
2017,2,CA,70 - 74 years,2096,,
2017,2,CA,75 - 79 years,2319,,
2017,2,CA,80 - 84 years,2814,,
2017,2,CA,85 - 89 years,3332,,
2017,2,CA,90 years and over,4663,,
2017,2,CA,Less than 1 year,152,,
2017,2,CA,Unknown,,1,Cell suppressed for small numbers
2017,3,CA,1 - 4 years,30,,
2017,3,CA,10 - 14 years,29,,
2017,3,CA,15 - 19 years,72,,
2017,3,CA,20 - 24 years,200,,
2017,3,CA,25 - 29 years,183,,
2017,3,CA,30 - 34 years,232,,
2017,3,CA,35 - 39 years,273,,
2017,3,CA,40 - 44 years,300,,
2017,3,CA,45 - 49 years,525,,
2017,3,CA,5 - 9 years,24,,
2017,3,CA,50 - 54 years,810,,
2017,3,CA,55 - 59 years,1279,,
2017,3,CA,60 - 64 years,1629,,
2017,3,CA,65 - 69 years,2045,,
2017,3,CA,70 - 74 years,2212,,
2017,3,CA,75 - 79 years,2456,,
2017,3,CA,80 - 84 years,2917,,
2017,3,CA,85 - 89 years,3246,,
2017,3,CA,90 years and over,4942,,
2017,3,CA,Less than 1 year,179,,
2017,3,CA,Unknown,13,,
2017,4,CA,1 - 4 years,38,,
2017,4,CA,10 - 14 years,29,,
2017,4,CA,15 - 19 years,69,,
2017,4,CA,20 - 24 years,169,,
2017,4,CA,25 - 29 years,206,,
2017,4,CA,30 - 34 years,203,,
2017,4,CA,35 - 39 years,250,,
2017,4,CA,40 - 44 years,356,,
2017,4,CA,45 - 49 years,528,,
2017,4,CA,5 - 9 years,15,,
2017,4,CA,50 - 54 years,791,,
2017,4,CA,55 - 59 years,1232,,
2017,4,CA,60 - 64 years,1600,,
2017,4,CA,65 - 69 years,1900,,
2017,4,CA,70 - 74 years,2033,,
2017,4,CA,75 - 79 years,2276,,
2017,4,CA,80 - 84 years,2748,,
2017,4,CA,85 - 89 years,3168,,
2017,4,CA,90 years and over,4354,,
2017,4,CA,Less than 1 year,181,,
2017,4,CA,Unknown,,1,Cell suppressed for small numbers
2017,5,CA,1 - 4 years,39,,
2017,5,CA,10 - 14 years,25,,
2017,5,CA,15 - 19 years,98,,
2017,5,CA,20 - 24 years,198,,
2017,5,CA,25 - 29 years,223,,
2017,5,CA,30 - 34 years,227,,
2017,5,CA,35 - 39 years,284,,
2017,5,CA,40 - 44 years,300,,
2017,5,CA,45 - 49 years,473,,
2017,5,CA,5 - 9 years,18,,
2017,5,CA,50 - 54 years,811,,
2017,5,CA,55 - 59 years,1285,,
2017,5,CA,60 - 64 years,1521,,
2017,5,CA,65 - 69 years,1963,,
2017,5,CA,70 - 74 years,2118,,
2017,5,CA,75 - 79 years,2295,,
2017,5,CA,80 - 84 years,2636,,
2017,5,CA,85 - 89 years,3076,,
2017,5,CA,90 years and over,4281,,
2017,5,CA,Less than 1 year,157,,
2017,5,CA,Unknown,,1,Cell suppressed for small numbers
2017,6,CA,1 - 4 years,31,,
2017,6,CA,10 - 14 years,26,,
2017,6,CA,15 - 19 years,103,,
2017,6,CA,20 - 24 years,187,,
2017,6,CA,25 - 29 years,220,,
2017,6,CA,30 - 34 years,240,,
2017,6,CA,35 - 39 years,271,,
2017,6,CA,40 - 44 years,313,,
2017,6,CA,45 - 49 years,531,,
2017,6,CA,5 - 9 years,17,,
2017,6,CA,50 - 54 years,772,,
2017,6,CA,55 - 59 years,1202,,
2017,6,CA,60 - 64 years,1545,,
2017,6,CA,65 - 69 years,1779,,
2017,6,CA,70 - 74 years,2032,,
2017,6,CA,75 - 79 years,2168,,
2017,6,CA,80 - 84 years,2524,,
2017,6,CA,85 - 89 years,3034,,
2017,6,CA,90 years and over,4016,,
2017,6,CA,Less than 1 year,174,,
2017,6,CA,Unknown,,1,Cell suppressed for small numbers
2017,7,CA,1 - 4 years,28,,
2017,7,CA,10 - 14 years,19,,
2017,7,CA,15 - 19 years,69,,
2017,7,CA,20 - 24 years,203,,
2017,7,CA,25 - 29 years,236,,
2017,7,CA,30 - 34 years,245,,
2017,7,CA,35 - 39 years,299,,
2017,7,CA,40 - 44 years,315,,
2017,7,CA,45 - 49 years,530,,
2017,7,CA,5 - 9 years,28,,
2017,7,CA,50 - 54 years,786,,
2017,7,CA,55 - 59 years,1326,,
2017,7,CA,60 - 64 years,1616,,
2017,7,CA,65 - 69 years,1879,,
2017,7,CA,70 - 74 years,1989,,
2017,7,CA,75 - 79 years,2134,,
2017,7,CA,80 - 84 years,2446,,
2017,7,CA,85 - 89 years,2813,,
2017,7,CA,90 years and over,3989,,
2017,7,CA,Less than 1 year,166,,
2017,7,CA,Unknown,,1,Cell suppressed for small numbers
2017,8,CA,1 - 4 years,28,,
2017,8,CA,10 - 14 years,21,,
2017,8,CA,15 - 19 years,92,,
2017,8,CA,20 - 24 years,186,,
2017,8,CA,25 - 29 years,180,,
2017,8,CA,30 - 34 years,215,,
2017,8,CA,35 - 39 years,289,,
2017,8,CA,40 - 44 years,304,,
2017,8,CA,45 - 49 years,546,,
2017,8,CA,5 - 9 years,18,,
2017,8,CA,50 - 54 years,818,,
2017,8,CA,55 - 59 years,1189,,
2017,8,CA,60 - 64 years,1501,,
2017,8,CA,65 - 69 years,1819,,
2017,8,CA,70 - 74 years,1939,,
2017,8,CA,75 - 79 years,2144,,
2017,8,CA,80 - 84 years,2546,,
2017,8,CA,85 - 89 years,2807,,
2017,8,CA,90 years and over,3885,,
2017,8,CA,Less than 1 year,176,,
2017,8,CA,Unknown,,1,Cell suppressed for small numbers
2017,9,CA,1 - 4 years,28,,
2017,9,CA,10 - 14 years,25,,
2017,9,CA,15 - 19 years,83,,
2017,9,CA,20 - 24 years,151,,
2017,9,CA,25 - 29 years,237,,
2017,9,CA,30 - 34 years,245,,
2017,9,CA,35 - 39 years,256,,
2017,9,CA,40 - 44 years,337,,
2017,9,CA,45 - 49 years,531,,
2017,9,CA,5 - 9 years,13,,
2017,9,CA,50 - 54 years,801,,
2017,9,CA,55 - 59 years,1182,,
2017,9,CA,60 - 64 years,1570,,
2017,9,CA,65 - 69 years,1828,,
2017,9,CA,70 - 74 years,1983,,
2017,9,CA,75 - 79 years,2092,,
2017,9,CA,80 - 84 years,2548,,
2017,9,CA,85 - 89 years,2917,,
2017,9,CA,90 years and over,4061,,
2017,9,CA,Less than 1 year,171,,
2017,9,CA,Unknown,,1,Cell suppressed for small numbers
2017,10,CA,1 - 4 years,19,,
2017,10,CA,10 - 14 years,23,,
2017,10,CA,15 - 19 years,79,,
2017,10,CA,20 - 24 years,170,,
2017,10,CA,25 - 29 years,229,,
2017,10,CA,30 - 34 years,243,,
2017,10,CA,35 - 39 years,292,,
2017,10,CA,40 - 44 years,333,,
2017,10,CA,45 - 49 years,532,,
2017,10,CA,5 - 9 years,15,,
2017,10,CA,50 - 54 years,798,,
2017,10,CA,55 - 59 years,1198,,
2017,10,CA,60 - 64 years,1579,,
2017,10,CA,65 - 69 years,1852,,
2017,10,CA,70 - 74 years,2029,,
2017,10,CA,75 - 79 years,2308,,
2017,10,CA,80 - 84 years,2696,,
2017,10,CA,85 - 89 years,3116,,
2017,10,CA,90 years and over,4124,,
2017,10,CA,Less than 1 year,156,,
2017,10,CA,Unknown,,1,Cell suppressed for small numbers
2017,11,CA,1 - 4 years,26,,
2017,11,CA,10 - 14 years,34,,
2017,11,CA,15 - 19 years,92,,
2017,11,CA,20 - 24 years,171,,
2017,11,CA,25 - 29 years,225,,
2017,11,CA,30 - 34 years,202,,
2017,11,CA,35 - 39 years,266,,
2017,11,CA,40 - 44 years,316,,
2017,11,CA,45 - 49 years,482,,
2017,11,CA,5 - 9 years,21,,
2017,11,CA,50 - 54 years,782,,
2017,11,CA,55 - 59 years,1195,,
2017,11,CA,60 - 64 years,1583,,
2017,11,CA,65 - 69 years,1839,,
2017,11,CA,70 - 74 years,2069,,
2017,11,CA,75 - 79 years,2178,,
2017,11,CA,80 - 84 years,2525,,
2017,11,CA,85 - 89 years,2865,,
2017,11,CA,90 years and over,4139,,
2017,11,CA,Less than 1 year,152,,
2017,11,CA,Unknown,,1,Cell suppressed for small numbers
2017,12,CA,1 - 4 years,24,,
2017,12,CA,10 - 14 years,26,,
2017,12,CA,15 - 19 years,84,,
2017,12,CA,20 - 24 years,159,,
2017,12,CA,25 - 29 years,234,,
2017,12,CA,30 - 34 years,250,,
2017,12,CA,35 - 39 years,285,,
2017,12,CA,40 - 44 years,363,,
2017,12,CA,45 - 49 years,575,,
2017,12,CA,5 - 9 years,25,,
2017,12,CA,50 - 54 years,910,,
2017,12,CA,55 - 59 years,1333,,
2017,12,CA,60 - 64 years,1821,,
2017,12,CA,65 - 69 years,2150,,
2017,12,CA,70 - 74 years,2340,,
2017,12,CA,75 - 79 years,2705,,
2017,12,CA,80 - 84 years,3145,,
2017,12,CA,85 - 89 years,3616,,
2017,12,CA,90 years and over,5318,,
2017,12,CA,Less than 1 year,160,,
2017,12,CA,Unknown,,1,Cell suppressed for small numbers
2018,1,CA,1 - 4 years,31,,
2018,1,CA,10 - 14 years,34,,
2018,1,CA,15 - 19 years,93,,
2018,1,CA,20 - 24 years,188,,
2018,1,CA,25 - 29 years,242,,
2018,1,CA,30 - 34 years,250,,
2018,1,CA,35 - 39 years,316,,
2018,1,CA,40 - 44 years,354,,
2018,1,CA,45 - 49 years,583,,
2018,1,CA,5 - 9 years,25,,
2018,1,CA,50 - 54 years,930,,
2018,1,CA,55 - 59 years,1432,,
2018,1,CA,60 - 64 years,1930,,
2018,1,CA,65 - 69 years,2302,,
2018,1,CA,70 - 74 years,2649,,
2018,1,CA,75 - 79 years,2945,,
2018,1,CA,80 - 84 years,3585,,
2018,1,CA,85 - 89 years,4191,,
2018,1,CA,90 years and over,6289,,
2018,1,CA,Less than 1 year,169,,
