age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
65+,18898,5/25/2020,19.5,2911,79.1,15.6
Unknown,135,5/25/2020,0.1,0,0,0
0-17,5122,5/26/2020,5.2,0,0,22.5
18-49,50981,5/26/2020,51.5,210,5.7,43.5
50-64,23633,5/26/2020,23.9,564,15.2,18.4
65+,19095,5/26/2020,19.3,2933,79.1,15.6
Unknown,149,5/26/2020,0.2,0,0,0
0-17,5371,5/27/2020,5.3,0,0,22.5
18-49,52555,5/27/2020,51.7,218,5.7,43.5
50-64,24154,5/27/2020,23.8,579,15.2,18.4
65+,19462,5/27/2020,19.1,3019,79.1,15.6
Unknown,155,5/27/2020,0.2,0,0,0
0-17,5542,5/28/2020,5.3,0,0,22.5
18-49,53795,5/28/2020,51.8,222,5.7,43.5
50-64,24617,5/28/2020,23.7,599,15.3,18.4
65+,19773,5/28/2020,19,3083,79,15.6
Unknown,159,5/28/2020,0.2,0,0,0
0-17,5861,5/29/2020,5.5,0,0,22.5
18-49,55552,5/29/2020,52,228,5.7,43.5
50-64,25223,5/29/2020,23.6,618,15.5,18.4
65+,20073,5/29/2020,18.8,3139,78.8,15.6
Unknown,169,5/29/2020,0.2,0,0,0
0-17,6254,5/30/2020,5.7,0,0,22.5
18-49,57738,5/30/2020,52.2,230,5.7,43.5
50-64,25964,5/30/2020,23.5,627,15.5,18.4
65+,20455,5/30/2020,18.5,3186,78.8,15.6
Unknown,172,5/30/2020,0.2,0,0,0
0-17,6488,5/31/2020,5.7,0,0,22.5
18-49,59144,5/31/2020,52.3,231,5.7,43.5
50-64,26405,5/31/2020,23.4,636,15.6,18.4
65+,20792,5/31/2020,18.4,3213,78.8,15.6
Unknown,177,5/31/2020,0.2,0,0,0
0-17,6706,6/1/2020,5.8,0,0,22.5
18-49,60493,6/1/2020,52.5,235,5.7,43.5
50-64,26880,6/1/2020,23.3,642,15.6,18.4
65+,21054,6/1/2020,18.3,3250,78.7,15.6
Missing,177,6/1/2020,0.2,0,0,0
0-17,6925,6/2/2020,5.9,0,0,22.5
18-49,61896,6/2/2020,52.6,248,5.9,43.5
50-64,27334,6/2/2020,23.2,662,15.6,18.4
65+,21354,6/2/2020,18.1,3321,78.5,15.6
Missing,178,6/2/2020,0.2,0,0,0
0-17,7119,6/3/2020,5.9,0,0,22.5
18-49,63152,6/3/2020,52.7,250,5.8,43.5
50-64,27762,6/3/2020,23.2,671,15.6,18.4
65+,21595,6/3/2020,18,3377,78.6,15.6
Missing,179,6/3/2020,0.1,0,0,0
0-17,7408,6/4/2020,6,0,0,22.5
18-49,64914,6/4/2020,52.8,257,5.9,43.5
50-64,28396,6/4/2020,23.1,686,15.7,18.4
65+,22002,6/4/2020,17.9,3425,78.4,15.6
Missing,181,6/4/2020,0.1,0,0,0
0-17,8248,6/7/2020,6.3,0,0,22.5
18-49,69915,6/7/2020,53.2,271,6,43.5
50-64,30025,6/7/2020,22.9,715,15.8,18.4
65+,22939,6/7/2020,17.5,3542,78.2,15.6
Missing,192,6/7/2020,0.1,0,0,0
0-17,8509,6/8/2020,6.4,0,0,22.5
18-49,71233,6/8/2020,53.4,274,6,43.5
50-64,30400,6/8/2020,22.8,721,15.8,18.4
65+,23154,6/8/2020,17.3,3564,78.2,15.6
Missing,193,6/8/2020,0.1,0,0,0
0-17,8800,6/9/2020,6.5,0,0,22.5
18-49,72829,6/9/2020,53.5,280,6,43.5
50-64,30914,6/9/2020,22.7,741,15.9,18.4
65+,23469,6/9/2020,17.2,3642,78.1,15.6
Missing,179,6/9/2020,0.1,0,0,0
0-17,9136,6/10/2020,6.6,0,0,22.5
18-49,74622,6/10/2020,53.6,291,6.1,43.5
50-64,31530,6/10/2020,22.6,756,15.9,18.4
65+,23806,6/10/2020,17.1,3721,78,15.6
Missing,187,6/10/2020,0.1,1,0,0
0-17,9461,6/11/2020,6.7,0,0,22.5
18-49,76220,6/11/2020,53.7,295,6.1,43.5
50-64,32069,6/11/2020,22.6,771,16,18.4
65+,24043,6/11/2020,16.9,3765,77.9,15.6
Missing,190,6/11/2020,0.1,1,0,0
0-17,10184,6/13/2020,6.8,0,0,22.5
18-49,80348,6/13/2020,54,304,6.1,43.5
50-64,33357,6/13/2020,22.4,792,16,18.4
65+,24762,6/13/2020,16.6,3864,77.9,15.6
Missing,204,6/13/2020,0.1,1,0,0
0-17,10702,6/15/2020,7,0,0,22.5
18-49,83254,6/15/2020,54.2,308,6.2,43.5
50-64,34290,6/15/2020,22.3,801,16,18.4
65+,25109,6/15/2020,16.4,3892,77.8,15.6
Missing,205,6/15/2020,0.1,1,0,0
0-17,11582,6/17/2020,7.2,0,0,22.5
18-49,87796,6/17/2020,54.5,317,6.2,43.5
50-64,35609,6/17/2020,22.1,825,16,18.4
65+,25911,6/17/2020,16.1,3999,77.8,15.6
Missing,201,6/17/2020,0.1,1,0,0
0-17,12063,6/18/2020,7.3,0,0,22.5
18-49,90278,6/18/2020,54.6,320,6.1,43.5
50-64,36485,6/18/2020,22.1,841,16,18.4
65+,26385,6/18/2020,16,4088,77.9,15.6
Missing,205,6/18/2020,0.1,1,0,0
0-17,12441,6/19/2020,7.3,0,0,22.5
18-49,92703,6/19/2020,54.8,322,6.1,43.5
50-64,37213,6/19/2020,22,851,16,18.4
65+,26741,6/19/2020,15.8,4144,77.9,15.6
Missing,211,6/19/2020,0.1,1,0,0
0-17,12897,6/20/2020,7.4,0,0,22.5
18-49,95513,6/20/2020,54.9,326,6,43.5
50-64,38046,6/20/2020,21.9,868,16.1,18.4
65+,27173,6/20/2020,15.6,4207,77.9,15.6
Missing,195,6/20/2020,0.1,1,0,0
0-17,13346,6/21/2020,7.5,0,0,22.5
18-49,98269,6/21/2020,55.2,327,6,43.5
50-64,38795,6/21/2020,21.8,875,16.1,18.4
65+,27456,6/21/2020,15.4,4222,77.8,15.6
Missing,188,6/21/2020,0.1,1,0,0
0-17,13867,6/22/2020,7.6,0,0,22.5
18-49,101474,6/22/2020,55.4,328,6,43.5
50-64,39667,6/22/2020,21.7,880,16.2,18.4
65+,27864,6/22/2020,15.2,4236,77.8,15.6
Missing,201,6/22/2020,0.1,1,0,0
0-17,14524,6/23/2020,7.6,0,0,22.5
18-49,106053,6/23/2020,55.8,332,6,43.5
50-64,40923,6/23/2020,21.5,889,16.2,18.4
65+,28528,6/23/2020,15,4277,77.8,15.6
Missing,194,6/23/2020,0.1,1,0,0
0-17,14968,6/24/2020,7.7,0,0,22.5
18-49,109489,6/24/2020,56,336,6,43.5
50-64,41870,6/24/2020,21.4,909,16.2,18.4
65+,29048,6/24/2020,14.9,4357,77.8,15.6
Missing,196,6/24/2020,0.1,1,0,0
0-17,15449,6/25/2020,7.7,0,0,22.5
18-49,112547,6/25/2020,56.1,344,6,43.5
50-64,42721,6/25/2020,21.3,932,16.3,18.4
65+,29544,6/25/2020,14.7,4440,77.7,15.6
Missing,200,6/25/2020,0.1,1,0,0
0-17,16093,6/26/2020,7.8,0,0,22.5
18-49,116389,6/26/2020,56.4,347,6,43.5
50-64,43730,6/26/2020,21.2,944,16.3,18.4
65+,30007,6/26/2020,14.5,4494,77.7,15.6
Missing,214,6/26/2020,0.1,1,0,0
0-17,16546,6/27/2020,7.9,0,0,22.5
18-49,118923,6/27/2020,56.5,349,6,43.5
50-64,44383,6/27/2020,21.1,954,16.4,18.4
65+,30333,6/27/2020,14.4,4506,77.5,15.6
Missing,1058,6/27/2020,0.1,1,0,0
0-17,17157,6/28/2020,7.9,0,0,22.5
18-49,122833,6/28/2020,56.7,350,6,43.5
50-64,45434,6/28/2020,21,964,16.5,18.4
65+,30893,6/28/2020,14.3,4535,77.5,15.6
Missing,233,6/28/2020,0.1,1,0,0
0-17,17739,6/29/2020,8,0,0,22.5
18-49,127082,6/29/2020,57,351,6,43.5
50-64,46486,6/29/2020,20.9,967,16.5,18.4
65+,31379,6/29/2020,14.1,4558,77.6,15.6
Missing,231,6/29/2020,0.1,1,0,0
0-17,18672,6/30/2020,8,0,0,22.5
18-49,133458,6/30/2020,57.4,355,5.9,43.5
50-64,48149,6/30/2020,20.7,985,16.5,18.4
65+,32145,6/30/2020,13.8,4637,77.6,15.6
Missing,233,6/30/2020,0.1,1,0,0
0-17,19328,7/1/2020,8,0,0,22.5
18-49,138340,7/1/2020,57.6,361,6,43.5
50-64,49466,7/1/2020,20.6,1002,16.5,18.4
65+,32815,7/1/2020,13.7,4695,77.5,15.6
Missing,246,7/1/2020,0.1,1,0,0
0-17,20088,7/2/2020,8.1,0,0,22.5
18-49,143601,7/2/2020,57.8,369,6,43.5
50-64,50845,7/2/2020,20.5,1023,16.5,18.4
65+,33445,7/2/2020,13.5,4791,77.5,15.6
Missing,256,7/2/2020,0.1,1,0,0
0-17,20610,7/3/2020,8.1,0,0,22.5
18-49,147853,7/3/2020,58,375,6,43.5
50-64,51955,7/3/2020,20.4,1036,16.6,18.4
65+,34055,7/3/2020,13.4,4835,77.4,15.6
Missing,272,7/3/2020,0.1,1,0,0
0-17,21219,7/4/2020,8.2,0,0,22.5
18-49,151294,7/4/2020,58.2,378,6,43.5
50-64,52869,7/4/2020,20.3,1038,16.6,18.4
65+,34493,7/4/2020,13.3,4848,77.4,15.6
Missing,280,7/4/2020,0.1,1,0,0
0-17,22332,7/5/2020,8.2,0,0,22.5
18-49,158767,7/5/2020,58.4,384,6.1,43.5
50-64,54836,7/5/2020,20.2,1044,16.6,18.4
65+,35441,7/5/2020,13,4872,77.3,15.6
Missing,308,7/5/2020,0.1,1,0,0
0-17,22861,7/6/2020,8.2,0,0,22.5
18-49,162714,7/6/2020,58.6,392,6.2,43.5
50-64,55931,7/6/2020,20.1,1053,16.6,18.4
65+,35957,7/6/2020,12.9,4916,77.3,15.6
Missing,311,7/6/2020,0.1,1,0,0
0-17,23960,7/7/2020,8.3,0,0,22.5
18-49,170255,7/7/2020,58.8,410,6.3,43.5
50-64,58017,7/7/2020,20,1069,16.5,18.4
65+,36911,7/7/2020,12.8,4995,77.1,15.6
Missing,325,7/7/2020,0.1,1,0,0
0-17,24556,7/8/2020,8.3,0,0,22.5
18-49,174719,7/8/2020,58.9,423,6.4,43.5
50-64,59300,7/8/2020,20,1101,16.6,18.4
65+,37586,7/8/2020,12.7,5096,77,15.6
Missing,338,7/8/2020,0.1,1,0,0
0-17,25160,7/9/2020,8.3,0,0,22.5
18-49,179727,7/9/2020,59.1,437,6.4,43.5
50-64,60708,7/9/2020,20,1148,16.9,18.4
65+,38346,7/9/2020,12.6,5201,76.6,15.6
Missing,356,7/9/2020,0.1,1,0,0
0-17,25889,7/10/2020,8.3,0,0,22.5
18-49,184939,7/10/2020,59.2,446,6.5,43.5
50-64,62124,7/10/2020,19.9,1170,17,18.4
65+,39039,7/10/2020,12.5,5276,76.6,15.6
Missing,353,7/10/2020,0.1,0,0,0
0-17,26652,7/11/2020,8.3,0,0,22.5
18-49,190310,7/11/2020,59.3,454,6.5,43.5
50-64,63696,7/11/2020,19.9,1187,17,18.4
65+,39776,7/11/2020,12.4,5348,76.5,15.6
Missing,370,7/11/2020,0.1,0,0,0
0-17,27415,7/12/2020,8.3,0,0,22.5
18-49,195752,7/12/2020,59.5,455,6.5,43.5
50-64,65134,7/12/2020,19.8,1192,17,18.4
65+,40473,7/12/2020,12.3,5367,76.5,15.6
Missing,388,7/12/2020,0.1,0,0,0
0-17,28108,7/13/2020,8.4,0,0,22.5
18-49,200437,7/13/2020,59.6,456,6.5,43.5
50-64,66427,7/13/2020,19.7,1193,16.9,18.4
65+,41080,7/13/2020,12.2,5390,76.6,15.6
Missing,456,7/13/2020,0.1,0,0,0
0-17,29156,7/14/2020,8.4,0,0,22.5
18-49,207574,7/14/2020,59.7,466,6.5,43.5
50-64,68493,7/14/2020,19.7,1220,17,18.4
65+,42007,7/14/2020,12.1,5478,76.5,15.6
Missing,404,7/14/2020,0.1,0,0,0
0-17,29945,7/15/2020,8.4,0,0,22.5
18-49,213083,7/15/2020,59.8,477,6.5,43.5
50-64,69998,7/15/2020,19.7,1238,17,18.4
65+,42748,7/15/2020,12,5568,76.5,15.6
Missing,404,7/15/2020,0.1,0,0,0
0-17,31018,7/16/2020,8.5,0,0,22.5
18-49,219485,7/16/2020,59.9,484,6.5,43.5
50-64,71688,7/16/2020,19.6,1271,17.2,18.4
65+,43550,7/16/2020,11.9,5654,76.3,15.6
Missing,423,7/16/2020,0.1,0,0,0
0-17,31953,7/17/2020,8.5,0,0,22.5
18-49,225279,7/17/2020,60,491,6.5,43.5
50-64,73362,7/17/2020,19.5,1294,17.2,18.4
65+,44297,7/17/2020,11.8,5745,76.3,15.6
Missing,472,7/17/2020,0.1,0,0,0
0-17,32913,7/18/2020,8.6,0,0,22.5
18-49,231171,7/18/2020,60.1,505,6.6,43.5
50-64,74999,7/18/2020,19.5,1306,17.1,18.4
65+,45166,7/18/2020,11.7,5809,76.2,15.6
Missing,443,7/18/2020,0.1,0,0,0
0-17,33630,7/19/2020,8.6,0,0,22.5
18-49,235513,7/19/2020,60.2,506,6.6,43.5
50-64,76179,7/19/2020,19.5,1311,17.1,18.4
65+,45759,7/19/2020,11.7,5834,76.3,15.6
Missing,457,7/19/2020,0.1,0,0,0
0-17,34617,7/20/2020,8.6,0,0,22.5
18-49,241406,7/20/2020,60.2,508,6.6,43.5
50-64,77787,7/20/2020,19.4,1317,17.2,18.4
65+,46495,7/20/2020,11.6,5852,76.2,15.6
Missing,464,7/20/2020,0.1,0,0,0
0-17,35962,7/21/2020,8.7,0,0,22.5
18-49,249412,7/21/2020,60.3,516,6.6,43.5
50-64,80056,7/21/2020,19.4,1337,17.2,18.4
65+,47673,7/21/2020,11.5,5940,76.2,15.6
Missing,473,7/21/2020,0.1,0,0,0
0-17,37335,7/22/2020,8.8,0,0,22.5
18-49,256853,7/22/2020,60.3,526,6.6,43.5
